file,M,N,NNZ,Sparsity,alpha,K,BSMR,BSMR_Only_Tensor_core,BSMR_Only_CUDA_Core
./suiteSparse_dataset/rajat15/rajat15.mtx,37261,37261,443573,99.96,0.3,64,2520.3,239.92,2191.57
./suiteSparse_dataset/sc205-2r/sc205-2r_A_12.mtx,35213,62423,123239,99.99,0.1,64,1305.5,890.46,1175.94
./suiteSparse_dataset/invextr1_new/invextr1_new.mtx,30412,30412,1793881,99.8,0.5,64,4099.36,3273.51,3312.19
./suiteSparse_dataset/tomographic1/tomographic1.mtx,73159,59498,647495,99.98,0.3,64,2319.11,1429.98,2319.11
./suiteSparse_dataset/rgg_n_2_16_s0/rgg_n_2_16_s0.mtx,65536,65536,342127,99.99,0.3,64,1926.39,1328.13,1843.36
./suiteSparse_dataset/n4c6-b5/n4c6-b5.mtx,51813,20058,310878,99.97,0.5,64,1933.32,1132.94,1914.27
./suiteSparse_dataset/soc-Epinions1/soc-Epinions1.mtx,75888,75888,508837,99.99,0.1,64,1742.59,240.29,1737.83
./suiteSparse_dataset/laminar_duct3D/laminar_duct3D.mtx,67173,67173,3833077,99.91,0.3,64,4301.03,3722.88,2747.33
./suiteSparse_dataset/Wordnet3/Wordnet3.mtx,82670,82670,132964,99.99,0.7,64,884.07,436.23,843.68
./suiteSparse_dataset/bbmat/bbmat.mtx,38744,38744,1771722,99.88,0.3,64,4921.45,4048.73,3444.25
./suiteSparse_dataset/light_in_tissue/light_in_tissue.mtx,29282,29282,406084,99.95,0.5,64,2758.72,2038.57,2743.81
./suiteSparse_dataset/lowThrust_7/lowThrust_7.mtx,17378,17378,110607,99.96,0.3,64,1706.9,1133.27,1607.66
./suiteSparse_dataset/cfd1/cfd1.mtx,70656,70656,949510,99.98,0.3,64,2715.99,1952.12,2697.47
./suiteSparse_dataset/TSOPF_FS_b162_c3/TSOPF_FS_b162_c3.mtx,30798,30798,904612,99.9,0.7,64,6574.22,5570.27,3707.43
./suiteSparse_dataset/lowThrust_11/lowThrust_11.mtx,18368,18368,117002,99.96,0.1,64,1607.17,994.91,1523.46
./suiteSparse_dataset/mark3jac080sc/mark3jac080sc.mtx,36609,36609,227955,99.98,0.3,64,1951.67,1277.77,1951.67
./suiteSparse_dataset/appu/appu.mtx,14000,14000,1853104,99.05,0.5,64,1951.46,1200.2,1951.46
./suiteSparse_dataset/TEM27623/TEM27623_M.mtx,27623,27623,233546,99.96,0.3,64,1946.22,1286.05,1802.05
./suiteSparse_dataset/Si34H36/Si34H36.mtx,97569,97569,2626974,99.97,0.3,64,2768.73,1481.15,2342.17
./suiteSparse_dataset/jan99jac060sc/jan99jac060sc.mtx,20614,20614,127182,99.97,0.1,64,1543.47,908.44,1432.23
./suiteSparse_dataset/pltexpa/pltexpa.mtx,26894,70364,143059,99.99,0.1,64,1419.24,894.12,1397.06
./suiteSparse_dataset/onetone1/onetone1.mtx,36057,36057,341088,99.97,0.5,64,2329.84,1608.91,2164.26
./suiteSparse_dataset/soc-Slashdot0902/soc-Slashdot0902.mtx,82168,82168,948464,99.98,0.1,64,1829.6,319.91,1829.6
./suiteSparse_dataset/jan99jac120sc/jan99jac120sc.mtx,41374,41374,260202,99.98,0.1,64,1913.25,1087.8,1739.32
./suiteSparse_dataset/Goodwin_054/Goodwin_054.mtx,32510,32510,1030878,99.9,0.3,64,4602.13,4090.79,3427.12
./suiteSparse_dataset/lhr71/lhr71.mtx,70304,70304,1528092,99.96,0.3,64,5684.87,3805.01,3583.71
./suiteSparse_dataset/psse0/psse0.mtx,26722,11028,102432,99.96,0.5,64,1662.86,1243.11,1542.65
./suiteSparse_dataset/waveguide3D/waveguide3D.mtx,21036,21036,303468,99.93,0.3,64,2447.32,1593.84,2119.19
./suiteSparse_dataset/hvdc1/hvdc1.mtx,24842,24842,159981,99.97,0.3,64,1886.57,1080.95,1680.47
./suiteSparse_dataset/opt1/opt1.mtx,15449,15449,973052,99.59,0.3,64,6334.97,5046.95,3663.6
./suiteSparse_dataset/ABACUS_shell_hd/ABACUS_shell_hd_K.mtx,23412,23412,216082,99.96,0.3,64,1929.3,1436.72,1788.76
./suiteSparse_dataset/c-55/c-55.mtx,32780,32780,218115,99.97,0.3,64,1867.42,464.47,1817.62
./suiteSparse_dataset/fe_rotor/fe_rotor.mtx,99617,99617,662431,99.99,0.3,64,2173.33,1008.57,2167.64
./suiteSparse_dataset/t3dh/t3dh_E.mtx,79171,79171,2215638,99.96,0.3,64,3610.88,2533.9,2997.35
./suiteSparse_dataset/mk12-b3/mk12-b3.mtx,51975,13860,207900,99.97,0.5,64,1721.03,1249.4,1614.13
./suiteSparse_dataset/psse2/psse2.mtx,28634,11028,115262,99.96,0.1,64,1735.87,1067.24,1618.85
./suiteSparse_dataset/bcsstk17/bcsstk17.mtx,10974,10974,219812,99.81,0.3,64,2803.72,1934.96,2520.78
./suiteSparse_dataset/ACTIVSg10K/ACTIVSg10K.mtx,20000,20000,137736,99.96,0.5,64,2049.64,1345.08,1956.48
./suiteSparse_dataset/c-68/c-68.mtx,64810,64810,315408,99.99,0.3,64,1808.53,371.94,1663.54
./suiteSparse_dataset/cage10/cage10.mtx,11397,11397,150645,99.88,0.3,64,1637.45,1040.37,1623.33
./suiteSparse_dataset/c-57/c-57.mtx,37833,37833,221515,99.98,0.5,64,2163.23,1638.42,1922.87
./suiteSparse_dataset/net4-1/net4-1.mtx,88343,88343,1265035,99.98,0.5,64,2509.99,1266.05,2494.15
./suiteSparse_dataset/lowThrust_8/lowThrust_8.mtx,17702,17702,113139,99.96,0.3,64,1644.46,1140.51,1571.37
./suiteSparse_dataset/vsp_barth5_1Ksep_50in_5Kout/vsp_barth5_1Ksep_50in_5Kout.mtx,32212,32212,101805,99.99,0.7,64,1106.58,710.93,1034.6
./suiteSparse_dataset/g7jac120/g7jac120.mtx,35550,35550,475296,99.96,0.5,64,2926.7,2062.92,2455.04
./suiteSparse_dataset/TSOPF_FS_b162_c1/TSOPF_FS_b162_c1.mtx,10798,10798,305732,99.73,0.9,64,4199.62,3184.71,2895.19
./suiteSparse_dataset/ABACUS_shell_ld/ABACUS_shell_ld.mtx,23412,23412,218484,99.96,0.3,64,1936.91,1468.31,1773.41
./suiteSparse_dataset/ABACUS_shell_ld/ABACUS_shell_ld_M.mtx,23412,23412,206474,99.96,0.3,64,1926.06,1410.34,1732.16
./suiteSparse_dataset/sinc18/sinc18.mtx,16428,16428,973826,99.63,0.9,64,3666.51,2469.13,2824.32
./suiteSparse_dataset/ckt11752_dc_1/ckt11752_dc_1.mtx,49702,49702,333029,99.98,0.3,64,2060.82,165.06,1963.61
./suiteSparse_dataset/IG5-17/IG5-17.mtx,30162,27944,1035008,99.87,0.3,64,2096.86,1401.69,2096.86
./suiteSparse_dataset/fome13/fome13.mtx,48568,97840,285056,99.99,0.1,64,1522.74,531.82,1509.83
./suiteSparse_dataset/TSOPF_RS_b300_c3/TSOPF_RS_b300_c3.mtx,42138,42138,4413449,99.75,0.1,64,9781.58,8955.86,3061.49
./suiteSparse_dataset/mark3jac100/mark3jac100.mtx,45769,45769,285215,99.98,0.3,64,1876.41,1110.65,1828.3
./suiteSparse_dataset/Zd_Jac3/Zd_Jac3.mtx,22835,22835,1916152,99.63,0.7,64,5150.95,3094.56,3596.38
./suiteSparse_dataset/jan99jac080/jan99jac080.mtx,27534,27534,171522,99.97,0.1,64,1729.05,992.6,1675.02
./suiteSparse_dataset/H2O/H2O.mtx,67024,67024,1141880,99.97,0.1,64,2280.11,1413.22,2251.34
./suiteSparse_dataset/ted_AB/ted_AB.mtx,10605,10605,522387,99.53,0.3,64,4946.85,3841.08,3154.51
./suiteSparse_dataset/scfxm1-2r/scfxm1-2r.mtx,37980,65943,221388,99.99,0.3,64,1844.9,1324.09,1844.9
./suiteSparse_dataset/mark3jac120/mark3jac120.mtx,54929,54929,342475,99.98,0.3,64,1928.35,1070.23,1885.88
./suiteSparse_dataset/Andrews/Andrews.mtx,60000,60000,410077,99.98,0.1,64,1731.74,980.11,1725.91
./suiteSparse_dataset/conf5_4-8x8-20/conf5_4-8x8-20.mtx,49152,49152,1916928,99.92,0.5,64,4453.83,4278.86,3703.49
./suiteSparse_dataset/denormal/denormal.mtx,89400,89400,622812,99.99,0.5,64,2712.6,2043.35,2684.53
./suiteSparse_dataset/poisson3Da/poisson3Da.mtx,13514,13514,352762,99.8,0.3,64,2624.72,1934,2140.55
./suiteSparse_dataset/gas_sensor/gas_sensor.mtx,66917,66917,885141,99.98,0.5,64,2609.5,1982.84,2597.24
./suiteSparse_dataset/thread/thread.mtx,29736,29736,2249892,99.74,0.5,64,4832.24,4105.64,3671.49
./suiteSparse_dataset/TSOPF_FS_b300_c3/TSOPF_FS_b300_c3.mtx,84414,84414,6578753,99.9,0.7,64,8417.03,7937.68,3135.13
./suiteSparse_dataset/bcsstk30/bcsstk30.mtx,28924,28924,1036208,99.87,0.3,64,3510.19,2524.87,2910.7
./suiteSparse_dataset/mixtank_new/mixtank_new.mtx,29957,29957,1995041,99.77,0.5,64,4163.27,3672.76,3365.45
./suiteSparse_dataset/c-53/c-53.mtx,30235,30235,201224,99.97,0.5,64,2350.75,1367.01,1965.08
./suiteSparse_dataset/bcsstk36/bcsstk36.mtx,23052,23052,583096,99.89,0.3,64,3421.92,2631.3,2689.56
./suiteSparse_dataset/vsp_model1_crew1_cr42_south31/vsp_model1_crew1_cr42_south31.mtx,45101,45101,189976,99.99,0.1,64,1684.18,927.62,1684.18
./suiteSparse_dataset/ted_AB_unscaled/ted_AB_unscaled.mtx,10605,10605,522387,99.53,0.5,64,4873.01,3510.67,3109.45
./suiteSparse_dataset/bcsstk39/bcsstk39.mtx,46772,46772,1068033,99.95,0.5,64,3485.75,2675.43,2993.37
./suiteSparse_dataset/brack2/brack2.mtx,62631,62631,366559,99.99,0.3,64,1735.6,1171.86,1729.05
./suiteSparse_dataset/cz10228/cz10228.mtx,10228,10228,102876,99.9,0.5,64,1692.04,1325.72,1692.04
./suiteSparse_dataset/vsp_sctap1-2b_and_seymourl/vsp_sctap1-2b_and_seymourl.mtx,40174,40174,140831,99.99,0.7,64,1173.59,372.17,1158.15
./suiteSparse_dataset/cvxbqp1/cvxbqp1.mtx,50000,50000,199984,99.99,0.1,64,1428.46,889.61,1420.34
./suiteSparse_dataset/rgg_n_2_15_s0/rgg_n_2_15_s0.mtx,32768,32768,160240,99.98,0.3,64,1683.19,1164.53,1669.17
./suiteSparse_dataset/pkustk11/pkustk11.mtx,87804,87804,2652858,99.96,0.3,64,4273.29,3283.24,2623.48
./suiteSparse_dataset/ex19/ex19.mtx,12005,12005,259879,99.81,0.3,64,2641.05,2005.24,2337.04
./suiteSparse_dataset/Ga3As3H12/Ga3As3H12.mtx,61349,61349,3016148,99.91,0.3,64,4467.04,2753.97,3103.03
./suiteSparse_dataset/Goodwin_030/Goodwin_030.mtx,10142,10142,312814,99.69,0.3,64,3910.18,2833.46,2854.14
./suiteSparse_dataset/c-61/c-61.mtx,43618,43618,176817,99.99,0.1,64,1483.36,295.09,1483.36
./suiteSparse_dataset/lp_pds_10/lp_pds_10.mtx,16558,49932,107605,99.98,0.1,64,1245.43,549.01,1234
./suiteSparse_dataset/g7jac060sc/g7jac060sc.mtx,17730,17730,203316,99.93,0.5,64,2420.43,1540.27,2153.77
./suiteSparse_dataset/graphics/graphics.mtx,29493,11822,117954,99.96,0.9,64,1798.08,1390.97,1694.74
./suiteSparse_dataset/windtunnel_evap3d/windtunnel_evap3d.mtx,40816,40816,2730600,99.83,0.5,64,3323.51,2568.28,2999.34
./suiteSparse_dataset/water_tank/water_tank.mtx,60740,60740,2035281,99.94,0.5,64,3814.24,2729.72,3291.2
./suiteSparse_dataset/conf6_0-8x8-20/conf6_0-8x8-20.mtx,49152,49152,1916928,99.92,0.5,64,4462.12,4278.86,3652.68
./suiteSparse_dataset/sc205-2r/sc205-2r.mtx,35213,62423,123239,99.99,0.1,64,1305.5,890.46,1175.94
./suiteSparse_dataset/ct2010/ct2010.mtx,67578,67578,168176,99.99,0.1,64,1313.88,837.53,1297.65
./suiteSparse_dataset/Goodwin_040/Goodwin_040.mtx,17922,17922,561677,99.82,0.3,64,4680.64,3637.8,3191.35
./suiteSparse_dataset/gupta2/gupta2.mtx,62064,62064,2155175,99.94,0.7,64,5313.55,4303.46,3480.58
./suiteSparse_dataset/k49_norm_10NN/k49_norm_10NN.mtx,38547,38547,309079,99.97,0.1,64,1609.79,854.75,1609.79
./suiteSparse_dataset/ak2010/ak2010.mtx,45292,45292,108549,99.99,0.1,64,1159.71,488.08,1159.71
./suiteSparse_dataset/ted_A_unscaled/ted_A_unscaled.mtx,10605,10605,424587,99.62,0.7,64,4738.69,3491.67,3032.76
./suiteSparse_dataset/TSOPF_RS_b2383_c1/TSOPF_RS_b2383_c1.mtx,38120,38120,16171169,98.88,0.5,64,9855.66,9463.47,3324.66
./suiteSparse_dataset/ship_001/ship_001.mtx,34920,34920,2339575,99.8,0.3,64,6169.77,5613.18,3832.86
./suiteSparse_dataset/OPF_6000/OPF_6000.mtx,29902,29902,166160,99.98,0.3,64,1775.21,1251.2,1775.21
./suiteSparse_dataset/dbir1/dbir1.mtx,18804,45775,1077025,99.87,0.3,64,3382.62,2329.21,3382.62
./suiteSparse_dataset/ABACUS_shell_hd/ABACUS_shell_hd.mtx,23412,23412,218484,99.96,0.3,64,1950.75,1468.31,1808.64
./suiteSparse_dataset/c-66/c-66.mtx,49989,49989,274498,99.98,0.3,64,1983.37,412.9,1750.62
./suiteSparse_dataset/IG5-16/IG5-16.mtx,18846,18485,588326,99.83,0.3,64,2101.16,1369.47,2101.16
./suiteSparse_dataset/g7jac080sc/g7jac080sc.mtx,23670,23670,293976,99.94,0.5,64,2701.99,1717.15,2148.95
./suiteSparse_dataset/vfem/vfem.mtx,93476,93476,1434636,99.98,0.3,64,2684.57,1504.44,2684.57
./suiteSparse_dataset/ch7-7-b5/ch7-7-b5.mtx,35280,52920,211680,99.98,0.3,64,1729.41,1041.73,1718.18
./suiteSparse_dataset/t3dl_a/t3dl_a.mtx,20360,20360,265113,99.93,0.3,64,2224.1,1593.23,2110.77
./suiteSparse_dataset/stokes128/stokes128.mtx,49666,49666,295938,99.98,0.1,64,2043.77,1233.07,2021.43
./suiteSparse_dataset/venkat25/venkat25.mtx,62424,62424,1717792,99.95,0.3,64,4869.02,4869.02,3889.93
./suiteSparse_dataset/g7jac140/g7jac140.mtx,41490,41490,565956,99.96,0.5,64,2985,1992.8,2563.21
./suiteSparse_dataset/lpl1/lpl1.mtx,32460,32460,180248,99.98,0.3,64,1453.61,641.91,1453.61
./suiteSparse_dataset/case39/case39_A_04.mtx,40216,40216,526144,99.96,0.5,64,4270.65,2949.24,2786.78
./suiteSparse_dataset/crankseg_1/crankseg_1.mtx,52804,52804,5333507,99.8,0.5,64,5241.26,4495.54,2997.7
./suiteSparse_dataset/pkustk06/pkustk06.mtx,43164,43164,1307466,99.92,0.3,64,4267.19,3492.16,3462.57
./suiteSparse_dataset/ncvxqp3/ncvxqp3.mtx,75000,75000,274982,99.99,0.1,64,1380.43,838.36,1353.26
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_11.mtx,100000,100000,448987,99.99,0.1,64,1690.46,800.62,1685.39
./suiteSparse_dataset/Dubcova1/Dubcova1.mtx,16129,16129,134569,99.94,0.3,64,1828.38,1335.01,1586.9
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_15.mtx,100000,100000,448987,99.99,0.1,64,1690.46,802.91,1685.39
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_06.mtx,100000,100000,448987,99.99,0.1,64,1695.57,801.76,1690.46
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_09.mtx,100000,100000,448987,99.99,0.1,64,1695.57,802.91,1685.39
./suiteSparse_dataset/tube2/tube2.mtx,21498,21498,459277,99.9,0.3,64,3986.78,2746.87,2828.06
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_01.mtx,100000,100000,448987,99.99,0.1,64,1690.46,801.76,1690.46
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_03.mtx,100000,100000,448987,99.99,0.1,64,1700.71,802.91,1690.46
./suiteSparse_dataset/2D_27628_bjtcai/2D_27628_bjtcai.mtx,27628,27628,442898,99.94,0.5,64,2929.22,2306.76,2754.34
./suiteSparse_dataset/pkustk01/pkustk01.mtx,22044,22044,500712,99.89,0.1,64,3576.51,2227.37,2806.68
./suiteSparse_dataset/me2010/me2010.mtx,69518,69518,167738,99.99,0.1,64,1310.45,782.36,1310.45
./suiteSparse_dataset/igbt3/igbt3.mtx,10938,10938,234006,99.8,0.5,64,2812.57,2232.88,2659.16
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_22.mtx,100000,100000,448987,99.99,0.1,64,1695.57,800.62,1690.46
./suiteSparse_dataset/c-67b/c-67b.mtx,57975,57975,294955,99.99,0.1,64,2083.02,1010.12,1971.62
./suiteSparse_dataset/c-47/c-47.mtx,15343,15343,113372,99.95,0.1,64,1793.86,891.29,1793.86
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2.mtx,100000,100000,448987,99.99,0.1,64,1690.46,802.91,1690.46
./suiteSparse_dataset/rma10/rma10.mtx,46835,46835,2374001,99.89,0.3,64,5454.97,4937.61,3799.62
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_17.mtx,100000,100000,448987,99.99,0.1,64,1690.46,802.91,1690.46
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_10.mtx,100000,100000,448987,99.99,0.1,64,1695.57,802.91,1695.57
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_14.mtx,100000,100000,448987,99.99,0.1,64,1690.46,801.76,1685.39
./suiteSparse_dataset/Zd_Jac6/Zd_Jac6.mtx,22835,22835,1711983,99.67,0.7,64,4808.94,2771.99,3462.75
./suiteSparse_dataset/t3dl/t3dl.mtx,20360,20360,265113,99.93,0.3,64,2194.64,1593.23,2110.77
./suiteSparse_dataset/ncvxqp7/ncvxqp7.mtx,87500,87500,312481,99.99,0.1,64,1385.11,838.2,1385.11
./suiteSparse_dataset/poisson3Db/poisson3Db.mtx,85623,85623,2374949,99.96,0.3,64,2824.63,1389.83,2610.98
./suiteSparse_dataset/case39/case39_A_11.mtx,40216,40216,526144,99.96,0.5,64,4243.1,2962.52,2786.78
./suiteSparse_dataset/case39/case39_A_07.mtx,40216,40216,526144,99.96,0.5,64,4270.65,2847.1,2786.78
./suiteSparse_dataset/bcsstk37/bcsstk37.mtx,25503,25503,583240,99.91,0.3,64,3298.87,2522.66,2740.79
./suiteSparse_dataset/pkustk05/pkustk05.mtx,37164,37164,1121154,99.91,0.3,64,4579.88,4038.74,3393.32
./suiteSparse_dataset/case39/case39.mtx,40216,40216,526139,99.96,0.5,64,4243.06,2949.21,2763.34
./suiteSparse_dataset/case39/case39_A_06.mtx,40216,40216,526144,99.96,0.5,64,4243.1,2962.52,2763.36
./suiteSparse_dataset/case39/case39_A_09.mtx,40216,40216,526144,99.96,0.7,64,4243.1,3355.51,2740.33
./suiteSparse_dataset/pltexpa/pltexpa_A_4.mtx,28350,74172,150801,99.99,0.1,64,1365.95,919.52,1356.12
./suiteSparse_dataset/case39/case39_A_13.mtx,40216,40216,526144,99.96,0.7,64,4243.1,3372.72,2740.33
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_13.mtx,100000,100000,448987,99.99,0.1,64,1690.46,802.91,1680.34
./suiteSparse_dataset/mark3jac040sc/mark3jac040sc.mtx,18289,18289,113435,99.96,0.3,64,1629.81,1125.35,1629.81
./suiteSparse_dataset/g7jac060/g7jac060.mtx,17730,17730,203316,99.93,0.3,64,2397.59,1588.41,2153.77
./suiteSparse_dataset/case39/case39_A_12.mtx,40216,40216,526144,99.96,0.5,64,4270.65,2962.52,2786.78
./suiteSparse_dataset/ckt11752_tr_0/ckt11752_tr_0.mtx,49702,49702,333029,99.98,0.5,64,2081.43,165.65,1918.37
./suiteSparse_dataset/208bit/208bit.mtx,24430,24421,299756,99.94,0.3,64,1818.91,1305.56,1718.78
./suiteSparse_dataset/conf5_4-8x8-15/conf5_4-8x8-15.mtx,49152,49152,1916928,99.92,0.5,64,4453.83,4278.86,3641.58
./suiteSparse_dataset/fxm4_6/fxm4_6.mtx,22400,47185,265442,99.97,0.3,64,2370.02,1424.05,1963.33
./suiteSparse_dataset/uni_chimera_i2/uni_chimera_i2_A_24.mtx,100000,100000,448987,99.99,0.1,64,1690.46,802.91,1680.34
./suiteSparse_dataset/TSOPF_RS_b39_c19/TSOPF_RS_b39_c19.mtx,38098,38098,684206,99.95,0.5,64,4831.96,3639.39,3132.81
./suiteSparse_dataset/192bit/192bit.mtx,13691,13682,154303,99.91,0.7,64,1555.47,1083.59,1461.2
./suiteSparse_dataset/juba40k/juba40k.mtx,40337,40337,144945,99.99,0.1,64,1383.06,915.06,1284.97
./suiteSparse_dataset/mk12-b4/mk12-b4.mtx,62370,51975,311850,99.99,0.5,64,1740.23,1278.07,1665.87
./suiteSparse_dataset/g7jac100sc/g7jac100sc.mtx,29610,29610,384636,99.95,0.5,64,2896.36,1849.21,2543.89
./suiteSparse_dataset/bcsstk32/bcsstk32.mtx,44609,44609,1029655,99.94,0.3,64,3625.55,2986.24,3064.45
./suiteSparse_dataset/GaAsH6/GaAsH6.mtx,61349,61349,1721579,99.95,0.5,64,2915.95,1826.8,2915.95
